type,x,y,cluster
point,168,333,5
point,877,416,26
point,98,646,43
point,886,825,35
point,533,204,34
point,235,925,7
point,605,183,17
point,140,668,43
point,563,163,17
point,271,957,7
point,136,95,47
point,111,351,5
point,159,617,46
point,660,292,42
point,526,233,34
point,432,419,30
point,410,963,41
point,203,736,20
point,127,383,5
point,224,614,46
point,124,301,5
point,885,219,22
point,874,197,22
point,473,623,31
point,660,268,42
point,377,409,14
point,356,773,3
point,160,903,7
point,20,955,37
point,552,185,34
point,787,449,39
point,21,926,37
point,472,459,44
point,481,494,44
point,892,576,40
point,301,134,18
point,153,538,45
point,479,110,49
point,235,828,20
point,105,269,1
point,163,318,5
point,282,310,28
point,286,893,7
point,520,248,34
point,775,436,39
point,220,742,20
point,495,68,38
point,571,255,42
point,939,828,35
point,934,159,22
point,468,858,27
point,998,742,35
point,844,295,0
point,788,301,0
point,213,786,20
point,143,369,5
point,241,514,11
point,875,795,35
point,398,8,49
point,729,938,10
point,985,84,33
point,808,657,19
point,700,473,4
point,808,428,39
point,402,576,31
point,189,700,20
point,981,532,26
point,634,435,4
point,209,836,20
point,0,198,1
point,910,742,35
point,676,585,4
point,660,35,6
point,512,997,15
point,201,551,46
point,830,632,2
point,814,217,0
point,235,431,11
point,829,398,39
point,77,332,24
point,889,19,33
point,839,600,2
point,172,659,46
point,760,869,23
point,601,317,42
point,457,452,30
point,159,715,20
point,823,53,33
point,158,382,5
point,976,424,26
point,946,101,33
point,406,441,25
point,658,677,29
point,522,101,38
point,401,636,16
point,437,660,31
point,975,167,22
point,931,921,12
point,98,356,5
point,164,290,5
point,928,776,35
point,640,363,42
point,340,889,41
point,540,994,15
point,172,64,21
point,970,824,35
point,586,212,17
point,675,33,6
point,134,706,43
point,554,674,8
point,7,537,48
point,451,483,44
point,703,573,4
point,526,68,38
point,396,481,25
point,390,871,41
point,562,225,34
point,570,385,42
point,775,95,6
point,58,639,48
point,308,10,21
point,652,270,42
point,812,773,19
point,339,972,41
point,813,138,0
point,230,219,28
point,389,426,25
point,92,923,37
point,509,696,27
point,935,579,40
point,18,457,24
point,534,458,44
point,351,56,49
point,750,124,6
point,554,43,38
point,524,810,27
point,38,877,32
point,466,190,34
point,963,841,35
point,558,148,38
point,555,637,8
point,868,480,26
point,924,248,22
point,210,339,28
point,556,425,44
point,860,209,22
point,220,60,21
point,386,834,3
point,483,421,30
point,42,904,37
point,196,21,21
point,728,801,23
point,490,796,27
point,349,590,16
point,681,412,4
point,432,276,34
point,732,92,6
point,12,451,24
point,828,135,33
point,560,428,44
point,54,901,37
point,787,130,6
point,697,494,4
point,191,573,46
point,886,48,33
point,532,449,44
point,847,849,23
point,49,265,1
point,524,870,15
point,601,548,44
point,556,698,8
point,235,283,28
point,890,401,9
point,604,660,8
point,346,793,3
point,108,559,48
point,382,317,14
point,185,458,11
point,782,707,19
point,843,412,39
point,495,673,31
point,12,751,43
point,967,274,9
point,593,117,38
point,997,126,22
point,943,245,22
point,505,471,44
point,888,599,40
point,670,893,10
point,10,807,32
point,223,572,46
point,673,479,4
point,863,318,9
point,373,505,25
point,96,719,43
point,363,160,18
point,180,583,46
point,39,956,37
point,725,984,10
point,417,863,41
point,384,709,16
point,287,28,21
point,852,552,2
point,462,471,44
point,55,204,1
point,92,93,47
point,89,997,37
point,992,921,12
point,254,474,11
point,801,291,0
point,532,530,44
point,930,823,35
point,421,886,41
point,739,487,4
point,900,251,22
point,470,212,34
point,706,569,4
point,473,190,34
point,249,771,20
point,141,430,45
point,261,102,21
point,786,19,6
point,973,38,33
point,899,362,9
point,282,426,11
point,428,836,27
point,86,286,1
point,604,831,36
point,354,505,25
point,298,177,18
point,95,763,43
point,512,274,34
point,101,301,5
point,402,821,3
point,599,533,44
point,631,832,36
point,309,333,14
point,44,495,45
point,661,158,17
point,164,82,21
point,230,369,28
point,397,208,18
point,996,338,9
point,327,164,18
point,724,445,4
point,480,298,30
point,46,296,1
point,720,320,39
point,263,755,20
point,700,233,17
point,755,179,0
point,16,610,48
point,761,986,10
point,89,180,1
point,146,142,13
point,78,385,24
point,54,219,1
point,832,517,2
point,798,452,39
point,75,57,47
point,746,818,23
point,389,252,14
point,466,38,49
point,142,447,45
point,301,886,3
point,373,717,16
point,438,266,34
point,192,951,7
point,661,937,10
point,831,35,33
point,265,793,3
point,676,171,17
point,11,519,48
point,805,2,6
point,105,168,13
point,398,86,49
point,95,991,37
point,474,849,27
point,972,59,33
point,24,410,24
point,255,521,11
point,128,264,5
point,976,251,22
point,266,728,20
point,804,662,19
point,954,485,26
point,385,720,16
point,739,430,39
point,811,647,19
point,206,234,28
point,781,181,0
point,912,546,26
point,962,136,22
point,918,66,33
point,706,129,6
point,718,845,23
point,299,32,21
point,131,806,32
point,520,771,27
point,60,542,48
point,894,618,40
point,832,918,23
point,483,420,30
point,242,589,46
point,4,720,43
point,172,203,13
point,637,1,38
point,371,63,49
point,597,759,36
point,928,177,22
point,776,215,0
point,374,375,14
point,308,7,21
point,378,456,25
point,533,189,34
point,38,69,47
point,671,469,4
point,661,152,17
point,836,373,39
point,577,163,17
point,148,959,37
point,489,724,27
point,51,50,47
point,289,295,28
point,516,238,34
point,336,978,41
point,841,730,19
point,468,492,44
point,803,599,2
point,482,804,27
point,627,785,36
point,32,639,48
point,57,744,43
point,271,271,28
point,229,434,11
point,385,623,16
point,354,551,25
point,395,392,14
point,120,983,37
point,985,305,9
point,262,169,18
point,864,80,33
point,752,407,39
point,507,277,34
point,530,706,8
point,773,510,2
point,618,196,17
point,916,15,33
point,551,690,8
point,196,129,13
point,658,559,4
point,182,358,5
point,585,299,42
point,791,45,6
point,575,349,42
point,227,237,28
point,63,506,45
point,569,717,8
point,983,769,35
point,598,166,17
point,758,917,10
point,322,763,3
point,372,166,18
point,118,48,47
point,901,936,12
point,834,460,39
point,705,626,29
point,200,53,21
point,734,841,23
point,474,38,49
point,737,656,29
point,275,700,16
point,580,518,44
point,775,943,10
point,599,598,8
point,269,652,16
point,165,442,45
point,660,714,29
point,190,563,46
point,677,679,29
point,719,203,0
point,291,546,25
point,898,763,35
point,258,782,20
point,494,642,31
point,594,261,42
point,920,175,22
point,926,917,12
point,679,508,4
point,686,49,6
point,280,469,11
point,224,13,21
point,914,475,26
point,748,764,19
point,205,391,11
point,145,305,5
point,45,650,43
point,865,695,19
point,865,673,19
point,800,497,2
point,812,401,39
point,84,909,37
point,66,50,47
point,96,392,24
point,221,124,21
point,157,657,46
point,513,215,34
point,845,30,33
point,344,824,3
point,752,730,29
point,755,627,29
point,353,559,25
point,123,417,45
point,823,718,19
point,349,978,41
point,813,633,2
point,956,229,22
point,857,618,40
point,654,703,29
point,715,657,29
point,43,616,48
point,382,824,3
point,836,575,2
point,960,974,12
point,976,288,9
point,227,139,13
point,366,426,25
point,630,420,42
point,275,737,20
point,530,554,44
point,380,395,14
point,785,189,0
point,11,405,24
point,228,548,46
point,982,737,35
point,317,317,14
point,877,254,22
point,183,422,11
point,692,910,10
point,239,747,20
point,96,536,45
point,271,405,11
point,329,955,41
point,968,292,9
point,153,834,32
point,430,625,31
point,944,997,12
point,103,43,47
point,275,283,28
point,445,65,49
point,10,844,32
point,246,838,3
point,211,603,46
point,839,320,9
point,102,423,45
point,737,397,39
point,303,626,16
point,756,47,6
point,352,8,49
point,237,614,46
point,241,541,46
point,180,151,13
point,725,696,29
point,909,121,33
point,764,290,0
point,372,841,3
point,983,705,40
point,843,437,39
point,925,944,12
point,406,202,18
point,768,901,23
point,43,868,32
point,109,139,13
point,102,211,1
point,794,774,19
point,238,332,28
point,590,341,42
point,253,720,20
point,462,854,27
point,353,768,3
point,612,428,44
point,97,18,47
point,877,666,40
point,818,979,12
point,130,286,5
point,74,148,47
point,993,563,40
point,349,699,16
point,30,309,24
point,719,229,0
point,265,805,3
point,179,93,21
point,498,437,44
point,108,905,37
point,761,306,0
point,478,924,15
point,313,124,18
point,427,456,25
point,309,973,41
point,899,320,9
point,584,60,38
point,964,906,12
point,20,615,48
point,964,370,9
point,786,419,39
point,193,693,20
point,540,86,38
point,807,901,23
point,825,9,33
point,399,900,41
point,632,523,4
point,864,839,23
point,5,573,48
point,825,990,12
point,968,857,35
point,793,442,39
point,886,999,12
point,500,447,44
point,186,44,21
point,55,442,45
point,515,149,34
point,608,587,8
point,387,17,49
point,359,55,49
point,515,154,34
point,137,125,13
point,837,942,12
point,918,318,9
point,675,92,6
point,932,549,26
point,383,513,25
point,23,655,43
point,844,539,2
point,816,893,23
point,647,871,36
point,28,180,1
point,208,582,46
point,518,643,31
point,964,906,12
point,932,261,22
point,78,217,1
point,430,79,49
point,34,14,47
point,202,71,21
point,305,328,14
point,738,960,10
point,605,515,44
point,435,329,30
point,564,904,15
point,873,730,19
point,377,441,25
point,755,151,6
point,252,392,11
point,476,591,31
point,287,768,3
point,355,299,14
point,160,69,21
point,801,901,23
point,248,698,20
point,171,451,11
point,156,472,45
point,667,471,4
point,856,658,19
point,857,201,22
point,514,30,38
point,191,198,13
point,155,592,46
point,314,565,25
point,7,529,48
point,810,553,2
point,585,550,44
point,521,762,27
point,709,149,17
point,116,632,48
point,961,389,9
point,720,55,6
point,314,296,14
point,524,41,38
point,808,962,12
point,670,45,6
point,11,660,43
point,962,655,40
point,795,297,0
point,728,41,6
point,840,604,2
point,186,64,21
point,931,462,26
point,242,650,46
point,689,921,10
point,786,47,6
point,663,525,4
point,895,356,9
point,32,440,24
point,942,312,9
point,71,434,45
point,587,602,8
point,659,193,17
point,906,560,26
point,879,87,33
point,506,498,44
point,807,917,23
point,668,189,17
point,490,806,27
point,52,710,43
point,673,704,29
point,382,14,49
point,950,283,9
point,957,488,26
point,587,486,44
point,431,954,41
point,902,207,22
point,607,54,38
point,194,523,11
point,486,733,27
point,633,855,36
point,536,360,30
point,795,745,19
point,261,103,21
point,36,36,47
point,973,438,26
point,182,729,20
point,142,284,5
point,952,771,35
point,788,43,6
point,918,160,22
point,821,938,12
point,311,630,16
point,773,111,6
point,942,247,22
point,359,529,25
point,622,746,36
point,0,156,1
point,723,796,23
point,370,104,49
point,878,943,12
point,441,994,41
point,287,785,3
point,716,347,39
point,42,831,32
point,717,129,6
point,421,515,25
point,141,801,32
point,436,395,30
point,204,349,5
point,71,595,48
point,644,422,4
point,821,227,0
point,901,456,26
point,817,548,2
point,742,640,29
point,267,25,21
point,203,739,20
point,606,978,15
point,132,915,37
point,962,402,9
point,796,568,2
point,489,28,38
point,390,749,27
point,768,340,39
point,941,995,12
point,806,149,0
point,992,697,40
point,181,638,46
point,864,279,9
point,321,264,14
point,41,809,32
point,858,474,26
point,926,790,35
point,719,553,4
point,771,335,39
point,28,648,48
point,631,260,42
point,698,212,17
point,738,203,0
point,214,13,21
point,598,259,42
point,549,281,42
point,653,259,17
point,790,247,0
point,198,670,46
point,964,909,12
point,844,54,33
point,562,379,42
point,600,620,8
point,102,434,45
point,537,760,27
point,149,442,45
point,637,950,10
point,162,493,45
point,810,998,12
point,1,669,43
point,393,600,16
point,589,553,44
point,709,675,29
point,652,639,8
point,795,386,39
point,875,577,2
point,569,584,8
point,466,206,34
point,346,95,49
point,421,711,27
point,457,104,49
point,282,760,3
point,825,777,19
point,185,120,13
point,789,176,0
point,648,466,4
point,42,973,37
point,362,352,14
point,376,756,3
point,408,0,49
point,607,632,8
point,317,258,28
point,543,62,38
point,66,318,24
point,662,150,17
point,838,209,0
point,492,209,34
point,597,856,36
point,229,420,11
point,889,308,9
point,386,84,49
point,582,573,8
point,422,928,41
point,553,171,34
point,679,82,6
point,689,111,6
point,904,788,35
point,173,548,46
point,224,269,28
point,669,365,42
point,861,46,33
point,415,210,34
point,470,187,34
point,182,123,13
point,132,168,13
point,500,734,27
point,44,694,43
point,962,837,35
point,780,281,0
point,811,749,19
point,919,612,40
point,701,353,39
point,969,313,9
point,860,15,33
point,695,910,10
point,750,139,6
point,721,727,29
point,289,976,7
point,576,186,17
point,400,9,49
point,87,898,37
point,568,530,44
point,337,865,3
point,171,563,46
point,241,466,11
point,569,992,15
point,4,382,24
point,164,593,46
point,519,163,34
point,749,298,0
point,292,963,7
point,227,50,21
point,990,921,12
point,158,86,21
point,520,7,38
point,113,742,43
point,437,391,30
point,706,801,36
point,226,592,46
point,258,344,28
point,17,688,43
point,487,115,38
point,279,742,20
point,503,506,44
point,401,739,27
point,12,895,37
point,444,278,34
point,564,201,34
point,422,630,31
point,44,848,32
point,60,51,47
point,465,204,34
point,108,68,47
point,493,657,31
point,66,495,45
point,161,938,7
point,752,162,0
point,150,641,46
point,555,849,15
point,184,504,11
point,37,881,32
point,968,767,35
point,954,350,9
point,913,213,22
point,8,203,1
point,160,15,21
point,725,872,10
point,169,580,46
point,498,621,31
point,874,534,26
point,873,650,40
point,626,100,38
point,661,383,42
point,751,65,6
point,135,495,45
point,32,958,37
point,83,454,45
point,955,163,22
point,146,1,47
point,971,651,40
point,571,967,15
point,618,195,17
point,622,481,4
point,868,275,9
point,115,382,5
point,302,647,16
point,149,614,46
point,399,430,25
point,880,633,40
point,78,694,43
point,562,218,34
point,571,369,42
point,201,390,5
point,315,636,16
point,902,267,9
point,679,381,42
point,994,289,9
point,129,52,47
point,553,99,38
point,419,57,49
point,273,510,11
point,522,9,38
point,44,170,1
point,104,324,5
point,616,869,36
point,43,487,45
point,999,883,35
point,921,503,26
point,13,932,37
point,912,433,26
point,222,534,46
point,124,756,43
point,280,453,11
point,289,716,16
point,677,189,17
point,940,869,35
point,730,361,39
point,48,258,1
point,711,685,29
point,62,127,47
point,498,880,15
point,960,826,35
point,749,73,6
point,618,798,36
point,539,159,34
point,575,471,44
point,923,222,22
point,555,933,15
point,475,321,30
point,805,499,2
point,505,205,34
point,49,41,47
point,811,649,19
point,954,372,9
point,240,461,11
point,516,175,34
point,116,275,5
point,100,861,32
point,213,950,7
point,289,244,28
point,228,278,28
point,525,538,44
point,782,877,23
point,740,289,0
point,588,487,44
point,284,230,28
point,207,777,20
point,179,185,13
point,183,932,7
point,227,940,7
point,724,671,29
point,586,992,15
point,721,641,29
point,594,368,42
point,50,329,24
point,369,783,3
point,683,988,10
point,726,11,6
point,820,216,0
point,932,564,40
point,305,271,28
point,313,834,3
point,162,908,7
point,435,205,34
point,602,789,36
point,840,825,23
point,929,699,40
point,380,948,41
point,91,663,43
point,732,965,10
point,779,722,19
point,250,3,21
point,350,428,25
point,123,678,43
point,442,828,27
point,411,555,25
point,351,600,16
point,741,495,4
point,883,708,19
point,110,480,45
point,574,379,42
point,418,779,27
point,553,602,8
point,565,588,8
point,681,753,29
point,640,281,42
point,177,233,13
point,882,232,22
point,912,846,35
point,105,379,5
point,944,425,26
point,318,549,25
point,799,559,2
point,365,423,25
point,993,318,9
point,11,640,48
point,987,894,35
point,969,972,12
point,350,520,25
point,744,943,10
point,493,742,27
point,632,307,42
point,750,11,6
point,801,681,19
point,845,767,19
point,969,794,35
point,428,901,41
point,172,378,5
point,663,88,6
point,147,860,32
point,209,926,7
point,63,979,37
point,938,567,40
point,474,218,34
point,32,992,37
point,233,497,11
point,73,813,32
point,691,331,42
point,220,451,11
point,680,62,6
point,682,491,4
point,812,919,23
point,445,617,31
point,855,388,39
point,714,348,39
point,310,659,16
point,978,84,33
point,570,573,8
point,380,120,49
point,417,44,49
point,506,396,30
point,59,19,47
point,690,155,17
point,246,404,11
point,113,451,45
point,527,374,30
point,204,563,46
point,888,797,35
point,99,875,32
point,70,648,43
point,878,569,2
point,415,906,41
point,482,77,38
point,608,240,17
point,147,415,5
point,696,743,29
point,426,434,30
point,258,297,28
point,660,905,10
point,268,727,20
point,786,326,39
point,967,123,22
point,158,379,5
point,218,264,28
point,554,443,44
point,174,458,11
point,578,853,36
point,460,444,30
point,854,959,12
point,831,278,0
point,908,577,40
point,201,471,11
point,523,838,27
point,86,499,45
point,443,955,41
point,273,713,20
point,244,707,20
point,904,538,26
point,337,636,16
point,806,859,23
point,367,542,25
point,200,37,21
point,80,788,32
point,13,375,24
point,35,729,43
point,622,240,17
point,819,257,0
point,547,532,44
point,422,2,49
point,746,724,29
point,444,102,49
point,474,344,30
point,709,795,36
point,735,215,0
point,861,718,19
point,36,647,48
point,785,959,10
point,624,428,4
point,428,245,34
point,718,77,6
point,48,685,43
point,497,563,31
point,320,444,25
point,615,599,8
point,2,916,37
point,78,334,24
point,446,718,27
point,321,152,18
point,76,162,1
point,39,87,47
point,542,329,42
point,899,789,35
point,761,547,2
point,688,877,10
point,997,298,9
point,213,889,7
point,957,358,9
point,544,952,15
point,935,578,40
point,701,678,29
point,956,98,33
point,870,995,12
point,38,407,24
point,301,773,3
point,549,456,44
point,414,422,30
point,16,206,1
point,366,55,49
point,726,514,4
point,172,352,5
point,791,774,19
point,713,714,29
point,554,478,44
point,810,79,6
point,50,980,37
point,303,133,18
point,316,928,41
point,80,740,43
point,642,828,36
point,847,254,0
point,258,19,21
point,940,797,35
point,46,503,45
point,471,706,27
point,849,61,33
point,91,874,32
point,564,137,38
point,563,234,34
point,706,338,39
point,959,745,35
point,507,451,44
point,494,112,38
point,837,130,33
point,446,350,30
point,488,245,34
point,661,156,17
point,296,317,14
point,941,521,26
point,426,76,49
point,646,902,10
point,699,479,4
point,697,384,39
point,573,509,44
point,740,459,4
point,912,506,26
point,822,936,12
point,660,956,10
point,543,607,8
point,839,616,2
point,623,930,10
point,757,851,23
point,238,418,11
point,161,898,7
point,436,216,34
point,50,96,47
point,763,211,0
point,77,658,43
point,689,886,10
point,533,15,38
point,547,648,8
point,380,375,14
point,877,517,26
point,537,564,44
point,935,788,35
point,218,717,20
point,680,992,10
point,611,641,8
point,461,26,49
point,700,280,0
point,989,91,33
point,884,734,19
point,795,127,6
point,954,985,12
point,125,213,13
point,652,274,42
point,121,296,5
point,895,189,22
point,496,845,27
point,22,138,47
point,472,489,44
point,31,264,1
point,808,207,0
point,70,988,37
point,790,309,0
point,209,318,28
point,598,182,17
point,835,1,33
point,872,991,12
point,522,949,15
point,447,509,25
point,72,851,32
point,263,765,20
point,303,461,11
point,52,520,45
point,264,474,11
point,522,510,44
point,200,851,7
point,918,870,35
point,846,977,12
point,231,884,7
point,360,159,18
point,868,45,33
point,146,813,32
point,859,355,9
point,77,666,43
point,202,348,5
point,88,343,5
point,244,468,11
point,959,543,26
point,738,199,0
point,633,924,10
point,908,993,12
point,161,155,13
point,896,64,33
point,349,606,16
point,151,229,13
point,192,972,7
point,124,640,43
point,79,585,48
point,570,842,36
point,842,355,39
point,82,678,43
point,307,472,25
point,426,418,30
point,478,803,27
point,268,10,21
point,87,714,43
point,762,180,0
point,565,59,38
point,585,125,38
point,839,869,23
point,997,763,35
point,142,540,45
point,306,734,3
point,958,83,33
point,651,584,8
point,496,927,15
point,557,997,15
point,555,373,42
point,900,984,12
point,441,787,27
point,669,741,29
point,168,753,20
point,264,883,7
point,196,511,11
point,839,567,2
point,490,506,44
point,2,102,47
point,642,712,29
point,901,808,35
point,939,454,26
point,958,672,40
point,347,758,3
point,133,298,5
point,546,299,42
point,825,999,12
point,187,110,21
point,960,856,35
point,940,88,33
point,716,214,0
point,343,760,3
point,492,7,38
point,10,159,1
point,721,726,29
point,24,854,32
point,427,771,27
point,835,997,12
point,52,425,24
point,261,1,21
point,794,876,23
point,138,203,13
point,525,726,27
point,713,878,10
point,380,160,18
point,154,960,7
point,7,270,1
point,949,111,33
point,316,54,21
point,94,548,48
point,342,431,25
point,326,724,16
point,380,101,49
point,45,246,1
point,693,627,29
point,494,904,15
point,429,675,31
point,900,223,22
point,185,70,21
point,802,47,6
point,993,361,9
point,145,573,46
point,541,745,27
point,183,972,7
point,346,925,41
point,421,306,14
point,552,168,34
point,367,779,3
point,660,134,17
point,182,912,7
point,637,8,38
point,630,764,36
point,696,573,4
point,300,899,7
point,985,644,40
point,306,674,16
point,38,56,47
point,582,46,38
point,309,431,11
point,449,288,34
point,301,200,18
point,752,555,2
point,77,252,1
point,508,794,27
point,256,595,46
point,523,499,44
point,804,742,19
point,720,630,29
point,559,846,15
point,399,106,49
point,804,392,39
point,195,796,20
point,697,454,4
point,568,202,17
point,564,3,38
point,451,540,31
point,217,877,7
point,324,725,16
point,211,271,28
point,497,272,34
point,404,291,14
point,475,425,30
point,989,487,26
point,341,818,3
point,646,657,8
point,71,764,32
point,730,993,10
point,228,803,20
point,211,942,7
point,6,334,24
point,670,55,6
point,306,214,18
point,915,151,22
point,59,958,37
point,52,410,24
point,459,905,41
point,811,349,39
point,667,367,42
point,836,489,2
point,757,148,6
point,729,840,23
point,691,295,42
point,880,350,9
point,98,358,5
point,953,63,33
point,506,983,15
point,23,697,43
point,670,361,42
point,940,159,22
point,511,525,44
point,386,117,49
point,866,53,33
point,958,654,40
point,691,340,42
point,196,512,11
point,286,201,18
point,273,328,28
point,390,345,14
point,369,37,49
point,388,584,25
point,70,74,47
point,755,859,23
point,454,699,27
point,289,145,18
point,851,254,0
point,577,792,36
point,596,163,17
point,733,239,0
point,579,480,44
point,221,642,46
point,961,768,35
point,326,936,41
point,659,578,4
point,712,298,0
point,498,505,44
point,904,922,12
point,299,568,25
point,70,84,47
point,171,274,28
point,216,704,20
point,374,332,14
point,719,133,6
point,638,424,4
point,777,710,19
point,759,90,6
point,573,760,36
point,25,386,24
point,674,450,4
point,916,690,40
point,725,456,4
point,948,648,40
point,74,416,24
point,489,985,15
point,794,206,0
point,751,628,29
point,820,820,23
point,332,234,18
point,575,261,42
point,552,991,15
point,754,131,6
point,637,481,4
point,279,380,14
point,593,994,15
point,901,586,40
point,42,976,37
point,621,393,42
point,929,454,26
point,697,694,29
point,131,945,37
point,99,241,1
point,959,240,22
point,813,4,6
point,467,710,27
point,720,946,10
point,107,501,45
point,774,195,0
point,53,701,43
point,447,928,41
point,66,363,24
point,99,161,13
point,932,555,26
point,829,497,2
point,988,40,33
point,341,272,14
point,346,138,18
point,101,224,1
point,620,865,36
point,487,840,27
point,824,103,33
point,231,318,28
point,453,999,41
point,11,305,24
point,828,365,39
point,763,162,0
point,899,189,22
point,555,277,42
point,126,589,48
point,251,739,20
point,930,946,12
point,599,354,42
point,902,976,12
point,508,116,38
point,88,719,43
point,22,168,1
point,23,107,47
point,869,157,22
point,350,687,16
point,120,742,43
point,343,360,14
point,867,354,9
point,490,202,34
point,84,705,43
point,987,478,26
point,491,588,31
point,545,242,34
point,656,717,29
point,485,844,27
point,62,517,45
point,43,963,37
point,363,928,41
point,573,335,42
point,237,818,20
point,982,883,35
point,565,384,42
point,329,87,49
point,852,289,0
point,783,886,23
point,523,604,31
point,729,745,29
point,453,786,27
point,254,733,20
point,244,5,21
point,571,539,44
point,758,392,39
point,843,189,0
point,621,656,8
point,212,85,21
point,425,149,49
point,836,283,0
point,160,882,7
point,891,363,9
point,388,426,25
point,997,140,22
point,275,746,20
point,33,630,48
point,860,8,33
point,685,507,4
point,963,410,9
point,684,230,17
point,698,634,29
point,199,460,11
point,165,145,13
point,720,56,6
point,25,359,24
point,935,733,35
point,867,8,33
point,4,937,37
point,862,0,33
point,22,394,24
point,41,87,47
point,51,595,48
point,35,261,1
point,435,720,27
point,20,924,37
point,420,347,30
point,193,967,7
point,170,432,11
point,66,733,43
point,341,790,3
point,513,118,38
point,278,982,7
point,985,754,35
point,636,546,4
point,274,99,21
point,31,881,32
